N. TERMINE;ESEMPIO IT;TERMINI (CSV);TARGET HYPOTHESIS ;ALTRE OPZIONI STAA (CSV);TERMINI ALTRI ORDINAMENTI (CSV);eurollm_9_terms;llama_8b_terms3
1.0;Le disposizioni previste dal titolo II del decreto legislativo 23 giugno 2011, n. 118, e successive modifiche, trovano applicazione a decorrere dal 1° gennaio 2017.;decreto legislativo;gesetzesvertretendes Dekret;Legislativdekret, GvD;;< GvD der Bestimmung der Titel II der gesetzesvertretend Dekret von 23. Juni 2011  Nr. 118  und nachfolgend Ãnderung finden ab der 1. Januar 2017 Anwendung  >;GvD der Bestimmung der Titel II der gesetzesvertretend Dekret von 23. Juni 2011  Nr. 118  in sein geÃ¤ndert Fassung  gelten ab 1. Januar 2017.
1.0;Il decreto legislativo è un atto avente forza di legge adottato, su materie complesse o specifiche dal Governo previa legge di delegazione da parte del Parlamento.;decreto legislativo;gesetzesvertretendes Dekret;Legislativdekret, GvD;;< der Gesetzesvertretende Dekret sein ein Rechtsverordnung  der von Kabinett auf komplex oder spezifisch Gebiet  nach ein Gesetzesdelegation durch der Parlament  erlassen werden  >;der gesetzesvertretend Dekret sein ein Gesetzakt  der auf komplex oder spezifisch Materie von Regierung vorbehaltlich ein Gesetzesdelegationsgesetz durch der Parlament erlassen werden 
1.0;Il Parlamento indica al Governo i principi normativi e i criteri direttivi che il Governo dovrà seguire nell’emanare il Decreto Legislativo.;decreto legislativo;gesetzesvertretendes Dekret;Legislativdekret, GvD;;< der Parlament weisen der Regierung an  der gesetzgeberisch GrundsÃ¤tze und Richtlinie festlegen  der der Regierung bei der Verabschiedung der Gesetzesvertretend Dekret befolgen muss  >;< der Parlament geben der Regierung der gesetzgeberisch GrundsÃ¤tze und der leitend Kriterium  der der Regierung bei der Ausgabe der gesetzesvertretend Dekret befolgen Muss  >
1.0;La Corte costituzionale ha affermato sin dal 1957 la propria competenza a verificare la conformità del Decreto legislativo.;decreto legislativo;gesetzesvertretendes Dekret;Legislativdekret, GvD;;< der Verfassungsgericht haben seit 1957 sein ZustÃ¤ndigkeit zu PrÃ¼fung der Ãbereinstimmung der Gesetzesvertretend Dekret feststellen  >;< der Verfassungsgerichtshof haben seit 1957 sein ZustÃ¤ndigkeit zu ÃberprÃ¼fung der Ãbereinstimmung der gesetzesvertretend Dekret feststellen  >
1.0;Con i decreti legislativi il governo può emanare nuove norme.;decreto legislativo;gesetzesvertretendes Dekret;Legislativdekret, GvD;;< mit gesetzesvertretend Dekret können der Regierung neu Vorschrift erlassen  >;mit der gesetzesvertretend Dekret können der Regierung neu Norm erlassen 
2.0;Con appositi decreti ministeriali vengono definite le modalità di applicazione del decreto ministeriale 15 luglio 2003, n. 388.;decreto ministeriale;Ministerialdekret;MD;;< mit besonderer Ministerialdekret werden der Anwendungsbestimmunge der Ministerialdekret von 15. Juli 2003  Nr. 388  festlegen  >;mit entsprechend Ministerialdekret werden der AnwendungsmÃ¶glichkeit der Ministerialdekret von 15. Juli 2003  Nr. 388  festlegen 
2.0;Con Decreto ministeriale n. 413219 del 8 agosto 2023, sono state definite le modalità di emanazione dei bandi regionali e provinciali.;decreto ministeriale;Ministerialdekret;MD;;< mit Ministerialdekret Nr. 413219 von 8. August 2023 werden der ModalitÃ¤t fÃ¼r der VerÃ¶ffentlichung regional und provinziell Ausschreibung festlegen  >;mit Ministerialdekret Nr. 413219 von 8. August 2023 werden der ModalitÃ¤t fÃ¼r der VerÃ¶ffentlichung der regional und provinziell Bekanntmachung festlegen 
2.0;La maggior parte delle regioni e delle province autonome ha utilizzato solo parzialmente le risorse finanziarie loro assegnate ai sensi del Decreto Ministeriale n. 53263 del 2 febbraio 2023.;decreto ministeriale;Ministerialdekret;MD;;< der meister Region und autonom Provinz haben der ihnen nach der Ministerialdekret Nr. 53263 von 2. Februar 2023 zugewiesen finanziell Mittel nur teilweise nutzen  >;der meister Region und autonom Provinz haben nur teilweise der ihnen in Ministerialdekret Nr. 53263 von 2. Februar 2023 zugewiesen finanziell Mittel nutzen 
2.0;Un decreto ministeriale è un atto amministrativo emanato da un ministro della Repubblica Italiana nell’ambito delle materie di competenza del suo dicastero.;decreto ministeriale;Ministerialdekret;MD;;< ein Ministerialdekret sein ein Verwaltungsverordnung  der von ein Minister der Italienischen Republik in der Bereich erlassen werden  der in der ZustÃ¤ndigkeitsbereich sein Ministerium fallen  >;ein Ministerialdekret sein ein Verwaltungsakt  der von ein italienisch Minister in Rahmen der ZustÃ¤ndigkeit sein Ministerium erlassen werden 
2.0;Il Ministero segnala la pubblicazione di diversi Decreti Ministeriali.;decreto ministeriale;Ministerialdekret;MD;;< der Ministerium weisen auf der VerÃ¶ffentlichung mehrere Ministerialdekrete hin  >;< der Ministerium kÃ¼ndigt der VerÃ¶ffentlichung mehrere Ministerialdekret an  >
3.0;La legge provinciale, approvata dal Consiglio provinciale con la maggioranza assoluta dei suoi componenti, determina la forma di governo della Provincia.;legge provinciale;Landesgesetz;;;< der Landesgesetz  der von Landtag mit der absolut Mehrheit sein Mitglied verabschieden werden  bestimmen der Regierungsform der Provinz  >;der Landesgesetz  der von Provinzialrat mit der absolut Mehrheit sein Mitglied beschließen werden  bestimmen der Form der Regierung der Provinz 
3.0;Il sostegno economico alle imprese è disciplinato tramite alcune leggi provinciali.;legge provinciale;Landesgesetz;;;< der finanziell UnterstÃ¼tzung von Unternehmen werden durch einiger Landesgesetze regeln  >;< der wirtschaftlich UnterstÃ¼tzung an Unternehmen sein durch einiger Landesgesetze regeln  >
3.0;Con effetto dall’entrata in vigore della presente legge è abrogata la Legge Provinciale 22 dicembre 2015, n. 17.;legge provinciale;Landesgesetz;;;< mit inkrafttreten dieser Gesetz sein der Landesgesetz von 22. Dezember 2015  Nr. 17  aufheben  >;mit Inkrafttreten der vorliegend Landesgesetzgebung treten der Landesgesetzgebung von 22. Dezember 2015  Nr. 17  auÃer Kraft 
3.0;Le leggi provinciali concorrono, con la normativa statale, a disciplinare una materia. ;legge provinciale;Landesgesetz;;;< der Landesgesetze regeln gemeinsam mit der staatlich Vorschrift ein Sachverhalt  >;< der Landesgesetze treten mit der bundesgesetzlich Regelung in ein Materie zusammen  >
3.0;Il controllo sull'attuazione delle leggi provinciali e le attività legate alla valutazione degli effetti delle politiche pubbliche sono regolate dalla Legge provinciale 28 marzo 2013, n. 5.;legge provinciale;Landesgesetz;;;< der Kontrolle Ã¼ber der Umsetzung der Landesgesetze und der AktivitÃ¤t in Zusammenhang mit der Bewertung der Auswirkung Ã¶ffentlich Politik werden durch der Landesgesetz von 28. MÃ¤rz 2013  Nr. 5  regeln  >;< der Kontrolle der Umsetzung der Landesgesetze und der TÃ¤tigkeit  der mit der Bewertung der Auswirkung der Ã¶ffentlich Politik verbinden sein  regeln der Landesgesetzgebung 28. MÃ¤rz 2013  Nr. 5. >
4.0;Qualora si tratti di supposizione di parto o di sostituzione di neonato, il figlio può reclamare uno stato diverso.;supposizione di parto;Kindesunterschiebung;;Unterschiebung eines Kindes;< wenn es sich um Kindesunterschiebung oder Neugeborenenersatz handeln  können der Kind ein anderer Status beanspruchen  >;wenn es sich um ein Kindesunterschiebung oder um ein Neugeborenenunterschiebung handeln  können der Kind ein anderer Vaterschaftsstatus beanspruchen 
4.0;La supposizione di parto ricorre quando, nato un bambino, nell'atto di nascita gli si attribuisca come madre una donna che non ha partorito.;supposizione di parto;Kindesunterschiebung;;Unterschiebung eines Kindes;< der Kindesunterschiebung treten ein  wenn bei der Geburt ein Kind in der Geburtsurkunde ein Frau als Mutter angeben werden  der der Kind nicht gebären haben  >;< der Kindesunterschiebung treten ein  wenn bei der Geburt ein Kind ein Frau als Mutter angeben werden  der nicht gebären haben  >
4.0;La prima ipotesi si riferisce ai presupposti contemplati nella precedente formulazione della norma, in base ai quali il neonato sia indicato nell’atto di nascita come nato da una donna che non ha realmente partorito (supposizione di parto).;supposizione di parto;Kindesunterschiebung;;Unterschiebung eines Kindes;< der erster Annahme beziehen sich auf der Voraussetzung  der in der vorherig Formulierung der Norm enthalten sein  wonach der Neugeborene in der Geburtsurkunde als von ein Frau gebären angeben sein  der nicht wirklich entbinden haben  Kindesunterschiebung   >;< der erster Annahme beziehen sich auf der in der vorherig Formulierung der Norm vorgesehen Voraussetzung  gemÃ¤Ã der der Neugeborene in Geburtszeugnis als von ein Frau angeben werden  der tatsÃ¤chlich nicht gebären haben  Kindesunterschiebung   >
4.0;Essa si configura come un’azione positiva diretta ad accertare la matrimonialità verso altri genitori, qualora si sia verificato lo scambio di neonati o la supposizione di parto da donna coniugata.;supposizione di parto;Kindesunterschiebung;;Unterschiebung eines Kindes;< sie stellen ein positiv Handlung dar  der darauf abzielen  der Ehegatten-Beziehung zu anderer Eltern feststellen  wenn es zu ein Austausch von Neugeborenen oder ein Kindesunterschiebung durch ein verheiratet Frau kommen sein  >;sie konfigurieren sich als ein positiv MaÃnahme zu Feststellung der Vaterschaft gegenÃ¼ber anderer Eltern  falls ein Austausch von Neugeborenen oder ein Kindesunterschiebung von ein verheiratet Frau stattfinden haben 
4.0;Precisamente, il riferimento è al caso di supposizione di parto e sostituzione di neonato nei quali la donna indicata come madre nell’atto di nascita non ha partorito chi risulta figlio.;supposizione di parto;Kindesunterschiebung;;Unterschiebung eines Kindes;< Genauer sagen  handeln es sich um der Fall der Kindesunterschiebung und Neugeborenen-Ersatz  bei der der als Mutter in Geburtsakt angegeben Frau nicht der Mutter der als Kind angegeben Kind sein  >;genau nehmen beziehen sich dieser auf der Fall der Kindesunterschiebung und der Austausch der Neugeborenen  in der der in der Geburtsurkunde als Mutter bezeichnen Frau nicht der Mutter der Kind sein  der als Sohn aufgefÃ¼hrt sein 
5.0;Il tribunale può ordinare la domanda di nullità del matrimonio anche d'ufficio.;d'ufficio;von Amts wegen;;amtwswegig, ex offo, e. o., ex officio, v. a. W.;< der Gericht können der Eheaufhebungsklage auch von Amts wegen anordnen  >;der Gericht können der Anfechtung der Ehe auch von Amts wegen anordnen 
5.0;In caso di inadempienza nel termine fissato, l'autorità competente provvede d'ufficio alla demolizione del fabbricato.;d'ufficio;von Amts wegen;;amtwswegig, ex offo, e. o., ex officio, v. a. W.;< bei Nichteinhaltung der Frist veranlassen der zustÃ¤ndige BehÃ¶rde der Abrissarbeit an GebÃ¤ude von Amt wegen  >;bei VersÃ¤umnis der festgesetzt Frist leisten der zustÃ¤ndige BehÃ¶rde von Amts wegen der Abbrucharbeit 
5.0;Le varianti al piano comunale possono essere apportate d’ufficio dalla Giunta provinciale.;d'ufficio;von Amts wegen;;amtwswegig, ex offo, e. o., ex officio, v. a. W.;< der Ãnderung an gemeindlich Plan kÃ¶nn von Amts wegen von der Provinzregierung vornehmen werden  >;der Variante in kommunal Plan kÃ¶nn von Amts wegen durch der Provinzregierung Ã¤ndern werden 
5.0;Le attività volte a gestire, garantire e verificare la trasmissione dei dati o l'accesso diretto degli stessi da parte dell'amministrazione procedente all'acquisizione d'ufficio dei dati rientrano nella competenza delle singole strutture organizzative della Provincia.;d'ufficio;von Amts wegen;;amtwswegig, ex offo, e. o., ex officio, v. a. W.;< der TÃ¤tigkeit zu Verwaltung  Sicherstellung und ÃberprÃ¼fung der DatenÃ¼bermittlung oder der direkt Zugriff derselbe durch der vorgeschrieben Verwaltung bei der Amtserwerbung der Datum fallen in der ZustÃ¤ndigkeitsbereich der einzeln Organisationseinheit der Provinz  >;< der AktivitÃ¤t zu Verwaltung  GewÃ¤hrleistung und ÃberprÃ¼fung der Ãbermittlung von Datum oder direkt Zugriff auf dieser von der zustÃ¤ndig Verwaltung zu Eingangnahme von Datum von Amts wegen  fallen in der ZustÃ¤ndigkeit der einzeln organisatorisch Einheit der Provinz  >
