SOURCE_SHEET;TERM NUMBER;TYPE OF ABBREVIATED FORM;IT EXAMPLE;IT TERM;STANDARDISED/RECOMMENDED FULL FORM;TARGET HYPOTHESIS (DE SOUTH TYROL);OTHER TERMS SOUTH TYROL (CSV);TERMS FROM OTHER LEGAL SYTEMS (CSV);test_predictions
abbreviated forms;1;initialism;L’RSPP è il consulente del datore di lavoro in materia di salute e sicurezza sul lavoro ed è nominato dal direttore della ripartizione del personale.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;der EGV sein der Sachverständige der Arbeitgeber in Bereich der Gesundheit und Sicherheit an Arbeitsplatz und werden von Direktor der Personalabteilung ernennen 
abbreviated forms;1;initialism;Il RSPP è una figura designata dal datore di lavoro e deve possedere requisiti professionali specifici.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;der EGV sein ein von Arbeitgeber bestimmt Person und muss spezifisch beruflich Voraussetzung besitzen 
abbreviated forms;1;initialism;Chi ha il compito di nominare il RSPP?;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;-- wer haben der Aufgabe  der EGV zu ernennen  
abbreviated forms;1;initialism;Il Datore di Lavoro può nominare un RSPP interno all'azienda oppure può affidare il ruolo ad un consulente RSPP esterno.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;der Arbeitgeber können ein EGV innerhalb der Betrieb ernennen oder der Rolle ein extern EGV-Berater anvertrauen 
abbreviated forms;1;initialism;L’istituzione del servizio di prevenzione e protezione all’interno dell’azienda, così come la designazione di un RSPP interno, è obbligatorio solo in alcuni casi.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;der Einrichtung der Arbeitsschutzdienst in Betrieb sowie der Namhaftmachung ein intern EGV sein nur in einiger Fall vorschreiben 
abbreviated forms;1;initialism;L’R.S.P.P. è il consulente del datore di lavoro in materia di salute e sicurezza sul lavoro ed è nominato dal direttore della ripartizione del personale.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;der R.S.P.P. sein der Sachverständige der Arbeitgeber in Bereich der Gesundheit und Sicherheit an Arbeitsplatz und werden von Direktor der Personalabteilung ernennen 
abbreviated forms;1;initialism;Il R.S.P.P. è una figura designata dal datore di lavoro e deve possedere requisiti professionali specifici.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;der R.S.L.A. sein ein von Arbeitgeber bestimmt Figur und muss spezifisch beruflich Voraussetzung besitzen 
abbreviated forms;1;initialism;Chi ha il compito di nominare il R.S.P.P.?;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;-- wer haben der Aufgabe  der R.S.P.P. zu ernennen  
abbreviated forms;1;initialism;Il Datore di Lavoro può nominare un R.S.P.P. interno all'azienda oppure può affidare il ruolo ad un consulente esterno.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;der Arbeitgeber können ein an Betrieb angeschlossen R.S.P.A.-Berufsberater ernennen oder der Rolle ein extern Berater anvertrauen 
abbreviated forms;1;initialism;L’istituzione del servizio di prevenzione e protezione all’interno dell’azienda, così come la designazione di un RSPP interno, è obbligatorio solo in alcuni casi.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;der Einrichtung der Arbeitsschutzdienst in Betrieb sowie der Namhaftmachung ein intern EGV sein nur in einiger Fall vorschreiben 
