SOURCE_SHEET;TERM NUMBER;TYPE OF ABBREVIATED FORM;IT EXAMPLE;IT TERM;STANDARDISED/RECOMMENDED FULL FORM;TARGET HYPOTHESIS (DE SOUTH TYROL);OTHER TERMS SOUTH TYROL (CSV);TERMS FROM OTHER LEGAL SYTEMS (CSV);test_predictions
abbreviated forms;1;initialism;L’RSPP è il consulente del datore di lavoro in materia di salute e sicurezza sul lavoro ed è nominato dal direttore della ripartizione del personale.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;Die EGV ist der Sachverständige des Arbeitgebers im Bereich der Gesundheit und Sicherheit am Arbeitsplatz und wird vom Direktor der Personalabteilung ernannt.
abbreviated forms;1;initialism;Il RSPP è una figura designata dal datore di lavoro e deve possedere requisiti professionali specifici.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;Die EGV ist eine vom Arbeitgeber bestimmte Person und muss spezifische berufliche Voraussetzungen besitzen.
abbreviated forms;1;initialism;Chi ha il compito di nominare il RSPP?;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;"""Wer hat die Aufgabe, die EGV zu ernennen?"""
abbreviated forms;1;initialism;Il Datore di Lavoro può nominare un RSPP interno all'azienda oppure può affidare il ruolo ad un consulente RSPP esterno.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;Der Arbeitgeber kann eine EGV innerhalb des Betriebes ernennen oder die Rolle einem externen EGV-Berater anvertrauen.
abbreviated forms;1;initialism;L’istituzione del servizio di prevenzione e protezione all’interno dell’azienda, così come la designazione di un RSPP interno, è obbligatorio solo in alcuni casi.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;Die Einrichtung des Arbeitsschutzdienstes im Betrieb sowie die Namhaftmachung einer internen EGV ist nur in einigen Fällen vorgeschrieben.
abbreviated forms;1;initialism;L’R.S.P.P. è il consulente del datore di lavoro in materia di salute e sicurezza sul lavoro ed è nominato dal direttore della ripartizione del personale.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;Der R.S.P.P. ist der Sachverständige des Arbeitgebers im Bereich der Gesundheit und Sicherheit am Arbeitsplatz und wird vom Direktor der Personalabteilung ernannt.
abbreviated forms;1;initialism;Il R.S.P.P. è una figura designata dal datore di lavoro e deve possedere requisiti professionali specifici.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;Der R.S.L.A. ist eine vom Arbeitgeber bestimmte Figur und muss spezifische berufliche Voraussetzungen besitzen.
abbreviated forms;1;initialism;Chi ha il compito di nominare il R.S.P.P.?;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;"""Wer hat die Aufgabe, den R.S.P.P. zu ernennen?"""
abbreviated forms;1;initialism;Il Datore di Lavoro può nominare un R.S.P.P. interno all'azienda oppure può affidare il ruolo ad un consulente esterno.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;Der Arbeitgeber kann einen am Betrieb angeschlossenen R.S.P.A.-Berufsberater ernennen oder die Rolle einem externen Berater anvertrauen.
abbreviated forms;1;initialism;L’istituzione del servizio di prevenzione e protezione all’interno dell’azienda, così come la designazione di un RSPP interno, è obbligatorio solo in alcuni casi.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;Die Einrichtung des Arbeitsschutzdienstes im Betrieb sowie die Namhaftmachung einer internen EGV ist nur in einigen Fällen vorgeschrieben.
abbreviated forms;1;initialism + full form;L’RSPP (Responsabile del Servizio di Prevenzione e Protezione) è il consulente del datore di lavoro in materia di salute e sicurezza sul lavoro ed è nominato dal direttore della ripartizione del personale.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;Die EGV (Verantwortlicher des Dienstes für Prävention und Schutz) ist der Sachverständige des Arbeitgebers im Bereich der Gesundheit und Sicherheit am Arbeitsplatz und wird vom Direktor der Personalabteilung ernannt.
