CUNI-EdUKate	CUNI-MH-v3	Cohere CAT+	Command A+	DeepSeek V4 Pro	Dubformer	GLM 4 - 9B	GPT 5.5	GPT OSS 120B	GPT OSS 20B	Gemini 3.1 Pro	Gemma 4 - 31B	Gemma 4 - 4B	GoogleTranslate	Ministral 3 - 14B	Mistral Medium 3.5	Qingqiu-MT-9B	Qwen 3.5 - 9b	Qwen 3.6 - 27b	SalamandraTA	TRIVE	Tiny Aya Global	Tower 9B	UvA-MT
28.26	31.07	51.85	10.65	58.9	54.79	5.14	66.25	6.52	6.78	100.0	51.19	42.47	31.55	10.81	51.85	100.0	43.19	51.85	35.41	100.0	24.65	31.55	45.02
5.24	3.08	15.84	6.34	40.26	25.84	4.32	64.64	21.37	6.68	48.2	24.93	7.77	11.08	7.66	31.9	8.15	6.21	14.05	13.79	25.8	5.83	14.25	24.93
21.94	23.13	18.43	12.64	45.16	35.97	20.34	54.54	30.32	10.67	54.54	42.51	25.47	23.23	13.18	18.86	3.14	13.14	19.79	19.78	47.36	11.08	37.67	54.47
16.86	29.32	8.8	20.73	20.82	19.63	5.56	14.86	5.39	5.56	36.97	16.14	23.21	8.21	23.93	23.46	18.08	7.41	3.96	27.73	17.86	15.65	18.09	30.03
14.81	19.86	21.03	22.28	22.91	31.15	14.49	39.86	20.76	18.88	56.41	31.79	16.96	15.06	12.89	28.86	37.47	12.49	22.21	1.53	38.16	5.22	26.15	43.04
24.29	30.35	44.39	37.17	40.68	59.95	16.08	60.0	44.9	30.94	54.08	47.83	33.7	14.32	23.57	27.96	42.55	32.68	9.5	0.95	66.44	9.22	22.4	37.91
16.15	24.8	35.22	29.76	32.77	72.1	12.13	100.0	56.79	9.75	100.0	29.85	21.65	31.24	23.29	49.86	28.5	28.67	28.67	65.55	100.0	15.43	22.4	100.0
6.11	18.33	24.69	5.91	40.47	19.67	4.26	51.84	24.41	6.59	68.59	15.36	9.17	7.01	7.68	24.69	7.22	6.44	25.96	31.04	51.84	4.34	7.01	57.82
9.41	8.59	34.53	43.85	50.74	60.62	20.23	59.23	47.6	29.11	86.0	60.62	6.07	43.41	14.17	36.41	9.85	24.12	29.72	13.93	60.62	18.33	51.1	60.62
20.68	29.56	68.16	51.97	55.73	59.13	24.59	80.36	34.33	15.73	66.56	66.21	20.69	33.33	13.85	53.08	24.04	15.93	18.08	49.53	72.78	6.77	33.15	85.43
