CUNI-EdUKate	CUNI-MH-v3	Cohere CAT+	Command A+	DeepSeek V4 Pro	Dubformer	GLM 4 - 9B	GPT 5.5	GPT OSS 120B	GPT OSS 20B	Gemini 3.1 Pro	Gemma 4 - 31B	Gemma 4 - 4B	GoogleTranslate	Ministral 3 - 14B	Mistral Medium 3.5	Qingqiu-MT-9B	Qwen 3.5 - 9b	Qwen 3.6 - 27b	SalamandraTA	TRIVE	Tiny Aya Global	Tower 9B	UvA-MT
38.79	25.15	39.25	42.95	51.25	35.16	23.48	44.87	31.32	34.58	53.77	43.5	40.81	15.38	27.42	42.8	40.1	32.98	42.95	29.45	56.49	28.44	24.64	42.75
11.22	11.68	30.42	27.28	30.76	41.83	14.19	41.93	23.26	11.08	38.57	15.03	32.45	17.92	25.46	30.42	21.0	11.14	30.2	19.52	32.13	18.61	26.92	52.23
32.89	42.73	64.42	5.97	63.88	63.83	20.33	69.54	47.26	45.38	68.82	42.12	51.45	55.51	36.66	61.16	47.38	47.26	53.9	36.4	68.82	14.39	46.76	66.75
21.48	9.23	51.53	39.41	62.96	74.89	37.31	82.07	30.19	11.43	72.06	53.52	61.69	41.94	42.33	47.01	58.29	46.32	39.31	25.17	74.89	30.96	38.55	36.46
31.79	26.49	48.25	11.36	60.21	51.99	42.71	60.44	45.42	11.91	57.7	40.57	32.54	52.99	42.22	48.7	34.81	5.31	51.99	41.57	60.21	5.5	48.7	50.89
26.91	17.71	38.28	37.89	30.84	13.3	7.87	37.04	30.97	13.59	54.91	27.36	26.12	21.53	28.04	18.17	36.02	22.14	63.35	21.84	40.0	14.28	45.52	36.61
14.06	5.95	23.59	20.83	37.34	16.91	16.61	19.83	18.49	17.32	32.59	6.17	5.03	10.01	9.66	24.76	5.12	9.11	9.32	5.4	19.8	14.06	5.68	29.42
60.52	13.14	53.28	7.23	77.92	77.92	24.85	84.36	60.67	45.13	84.36	55.71	7.92	11.54	51.39	68.18	52.63	7.91	55.79	53.26	77.92	14.72	52.1	77.92
27.15	17.95	20.59	22.99	27.0	20.62	20.13	25.14	20.12	13.29	27.23	25.54	15.13	18.3	22.29	21.07	18.19	17.31	12.31	17.98	25.8	18.05	19.62	25.38
21.64	53.78	38.31	54.65	54.92	55.79	20.16	54.92	30.23	19.69	66.54	44.9	23.29	41.23	23.1	35.75	35.95	24.18	30.23	15.66	66.81	50.04	31.87	66.81
38.21	29.09	29.09	24.46	30.64	53.93	38.43	63.71	29.09	39.68	30.64	34.29	30.08	56.33	23.98	23.98	22.58	28.81	30.08	30.64	30.64	32.73	28.52	53.93
37.56	16.14	6.34	45.27	28.06	49.62	4.81	62.53	13.63	10.85	64.44	31.4	5.5	10.56	5.73	39.35	37.64	8.77	24.53	33.76	38.59	34.59	14.91	55.05
19.93	17.23	29.36	26.72	39.02	27.83	22.02	42.8	26.93	9.69	17.35	23.23	27.83	25.94	25.89	38.48	27.09	30.39	35.99	18.08	38.48	21.92	33.01	31.59
35.56	16.16	51.61	38.96	51.64	32.92	20.48	41.93	35.2	44.87	31.5	25.09	40.09	36.49	24.62	36.01	40.28	32.39	36.93	42.43	28.27	40.05	42.73	42.69
27.46	54.12	35.63	43.84	27.68	43.27	9.2	60.08	26.67	16.64	57.08	26.67	41.54	42.52	14.97	31.12	35.58	42.74	70.2	26.16	17.22	12.0	51.45	27.68
38.52	40.23	57.42	63.44	65.3	58.58	40.21	64.68	44.56	49.92	76.15	57.38	39.04	58.49	42.94	57.0	57.0	42.46	67.56	54.39	79.05	35.78	35.28	40.96
8.04	14.3	52.08	5.6	52.08	31.23	6.78	36.44	6.83	6.14	66.29	29.45	31.23	12.71	5.29	31.23	7.12	6.0	33.02	28.13	66.29	11.77	10.81	6.78
