CUNI-EdUKate	CUNI-MH-v3	Cohere CAT+	Command A+	DeepSeek V4 Pro	Dubformer	GLM 4 - 9B	GPT 5.5	GPT OSS 120B	GPT OSS 20B	Gemini 3.1 Pro	Gemma 4 - 31B	Gemma 4 - 4B	GoogleTranslate	Ministral 3 - 14B	Mistral Medium 3.5	Qingqiu-MT-9B	Qwen 3.5 - 9b	Qwen 3.6 - 27b	SalamandraTA	TRIVE	Tiny Aya Global	Tower 9B	UvA-MT
46.21	11.84	29.51	64.14	74.32	48.99	10.93	78.48	31.81	13.97	89.42	30.62	58.9	16.81	49.78	70.29	29.51	58.51	61.21	33.94	48.99	33.25	29.4	89.42
9.35	10.06	13.99	10.45	29.9	15.9	9.81	15.25	11.04	10.1	27.64	14.96	12.16	13.52	13.38	13.77	14.19	20.32	16.14	14.98	36.75	8.32	12.22	17.83
7.47	26.83	31.16	24.68	31.89	24.48	28.43	35.54	27.2	28.5	36.22	34.4	20.8	22.9	23.5	30.96	22.67	6.78	35.79	7.73	24.12	13.22	19.83	27.38
21.0	16.43	38.55	47.05	64.04	46.88	1.78	70.0	29.34	22.74	66.66	57.44	40.13	33.92	37.32	30.19	36.94	24.32	44.26	40.13	80.49	21.9	52.29	38.66
14.2	17.82	33.46	42.17	47.87	56.34	3.25	61.21	21.18	8.05	46.07	18.22	12.3	35.39	49.63	33.3	52.16	49.14	31.14	22.31	39.76	5.85	11.01	46.67
34.59	37.02	50.31	32.87	66.09	62.33	50.84	62.33	37.34	53.25	48.11	20.7	26.59	19.92	36.93	62.33	39.79	36.48	40.28	46.43	23.38	31.53	29.95	35.44
16.07	41.84	60.92	45.84	43.3	51.42	27.97	47.17	21.93	7.66	47.17	47.76	26.12	31.96	18.08	33.67	53.9	38.62	47.17	44.53	47.17	24.25	33.62	42.23
14.76	27.02	42.87	31.71	43.68	44.08	12.84	35.7	21.95	21.25	37.93	19.66	31.32	28.22	18.41	32.67	19.13	11.96	19.49	36.73	38.84	37.86	20.92	35.44
24.59	9.14	29.35	39.69	41.04	31.38	16.12	25.41	21.83	4.43	36.33	27.03	32.74	27.62	22.4	18.46	29.76	15.82	30.59	31.73	28.26	14.31	30.16	31.34
8.49	7.47	26.52	23.29	56.22	44.29	16.47	64.5	36.41	5.11	57.58	42.52	6.15	6.69	11.65	64.5	28.3	2.83	34.9	19.35	64.5	5.75	7.77	64.5
38.88	52.76	68.22	68.9	73.76	81.8	10.58	70.33	48.9	29.19	70.33	68.51	38.69	54.34	35.26	84.67	69.88	45.06	62.2	60.92	70.33	40.94	60.05	66.47
20.59	16.59	10.24	21.74	62.99	40.93	17.54	68.59	52.75	18.61	74.44	42.66	7.37	12.14	25.96	40.64	18.97	14.38	56.84	32.52	58.02	15.95	17.86	42.66
4.18	30.32	16.86	13.28	8.98	11.61	7.54	10.29	16.53	11.12	20.93	30.02	23.84	23.84	10.17	23.55	28.16	9.0	19.56	13.09	35.3	13.3	36.07	30.92
10.67	8.89	18.49	26.12	75.99	39.17	24.75	54.14	30.32	12.67	58.76	16.85	26.12	26.66	7.98	21.63	21.07	14.29	15.09	10.06	38.38	18.64	8.94	29.78
34.93	24.66	16.17	25.88	28.29	17.96	8.08	43.25	36.32	4.86	42.14	27.33	16.92	7.78	7.83	16.01	30.9	8.14	12.58	4.22	40.58	5.43	20.35	40.58
