model	Success rate of tgt_term_gold	Success rate of tgt_term_homonym	chrf	bleu
Tiny Aya Global	38.66	29.67	50.0699	19.33
GPT OSS 20B	55.96	37.43	54.3021	23.54
UvA-MT	73.33	25.67	69.937	45.42
Qingqiu-MT-9B	60.18	34.82	61.4816	32.16
Dubformer	72.02	27.21	69.7923	44.15
DeepSeek V4 Pro	80.4	18.99	71.3128	46.96
CUNI-EdUKate	25.75	16.91	54.0788	25.04
Qwen 3.6 - 27b	57.8	30.98	61.873	33.52
Gemini 3.1 Pro	84.78	15.07	75.818	54.58
Ministral 3 - 14B	51.04	42.66	58.2022	25.59
GoogleTranslate	32.21	16.6	55.0157	26.42
Tower 9B	51.11	34.51	60.4616	33.25
Mistral Medium 3.5	59.65	39.35	65.8504	40.11
Command A+	58.49	28.36	61.2584	33.06
Cohere CAT+	64.8	35.28	64.3967	36.81
GPT OSS 120B	65.95	31.59	60.172	31.76
Qwen 3.5 - 9b	49.96	35.97	56.3392	26.28
Gemma 4 - 4B	51.35	38.82	58.0602	29.57
CUNI-MH-v3	29.59	15.22	55.7348	28.14
TRIVE	84.47	15.37	74.4752	52.09
SalamandraTA	56.88	30.59	58.5328	31.3
GPT 5.5	85.4	14.68	75.5204	53.91
Gemma 4 - 31B	68.72	29.75	65.4381	38.11
GLM 4 - 9B	37.51	31.67	52.8672	23.92
