model	Success rate of tgt_term_gold	Success rate of tgt_term_hyponym	Success rate of tgt_term_hypernym	Success rate of tgt_term_co-hyponym	chrf	bleu
Tiny Aya Global	48.74	5.0	18.75	9.17	53.904	27.57
GPT OSS 20B	74.1	19.38	20.11	13.1	57.7213	26.99
UvA-MT	90.29	13.12	14.95	13.54	70.0871	44.21
Qingqiu-MT-9B	75.18	25.0	23.91	22.27	63.661	34.38
Dubformer	91.73	13.12	14.95	14.85	70.5438	44.75
DeepSeek V4 Pro	93.17	13.12	11.96	10.48	71.1576	45.75
CUNI-EdUKate	24.46	3.12	15.76	4.37	57.5383	28.81
Qwen 3.6 - 27b	81.12	13.12	16.03	12.23	63.9513	34.97
Gemini 3.1 Pro	95.5	5.0	12.5	12.66	75.1944	51.97
Ministral 3 - 14B	75.72	12.5	22.83	14.85	60.0585	26.97
GoogleTranslate	33.27	3.75	15.49	7.42	57.5307	29.63
Tower 9B	73.74	11.25	21.2	16.16	63.4405	35.74
Mistral Medium 3.5	86.15	16.88	18.75	19.21	66.7769	40.56
Command A+	74.82	15.0	17.66	13.97	63.6092	35.57
Cohere CAT+	86.33	23.75	19.29	18.78	66.3044	38.19
GPT OSS 120B	77.88	18.75	20.11	12.66	62.4552	33.78
Qwen 3.5 - 9b	70.86	18.75	20.38	16.59	58.1357	27.6
Gemma 4 - 4B	76.8	17.5	21.47	16.16	61.7516	33.43
CUNI-MH-v3	28.42	2.5	13.86	3.49	58.2053	30.39
TRIVE	94.42	6.25	11.96	10.92	74.0659	50.17
SalamandraTA	68.53	21.25	20.11	17.47	60.3395	33.4
GPT 5.5	95.86	7.5	11.96	10.48	74.55	50.51
Gemma 4 - 31B	85.97	15.62	18.21	15.28	68.0149	41.04
GLM 4 - 9B	57.01	8.12	20.38	10.92	55.7113	26.5
