N. TERMINE;ESEMPIO IT;TERMINI (CSV);TARGET HYPOTHESIS ;ALTRE OPZIONI STAA (CSV);TERMINI ALTRI ORDINAMENTI (CSV)
1.0;Le disposizioni previste dal titolo II del decreto legislativo 23 giugno 2011, n. 118, e successive modifiche, trovano applicazione a decorrere dal 1° gennaio 2017.;decreto legislativo;gesetzesvertretendes Dekret;Legislativdekret, GvD;
1.0;Il decreto legislativo è un atto avente forza di legge adottato, su materie complesse o specifiche dal Governo previa legge di delegazione da parte del Parlamento.;decreto legislativo;gesetzesvertretendes Dekret;Legislativdekret, GvD;
1.0;Il Parlamento indica al Governo i principi normativi e i criteri direttivi che il Governo dovrà seguire nell’emanare il Decreto Legislativo.;decreto legislativo;gesetzesvertretendes Dekret;Legislativdekret, GvD;
1.0;La Corte costituzionale ha affermato sin dal 1957 la propria competenza a verificare la conformità del Decreto legislativo.;decreto legislativo;gesetzesvertretendes Dekret;Legislativdekret, GvD;
1.0;Con i decreti legislativi il governo può emanare nuove norme.;decreto legislativo;gesetzesvertretendes Dekret;Legislativdekret, GvD;
2.0;Con appositi decreti ministeriali vengono definite le modalità di applicazione del decreto ministeriale 15 luglio 2003, n. 388.;decreto ministeriale;Ministerialdekret;MD;
2.0;Con Decreto ministeriale n. 413219 del 8 agosto 2023, sono state definite le modalità di emanazione dei bandi regionali e provinciali.;decreto ministeriale;Ministerialdekret;MD;
2.0;La maggior parte delle regioni e delle province autonome ha utilizzato solo parzialmente le risorse finanziarie loro assegnate ai sensi del Decreto Ministeriale n. 53263 del 2 febbraio 2023.;decreto ministeriale;Ministerialdekret;MD;
2.0;Un decreto ministeriale è un atto amministrativo emanato da un ministro della Repubblica Italiana nell’ambito delle materie di competenza del suo dicastero.;decreto ministeriale;Ministerialdekret;MD;
2.0;Il Ministero segnala la pubblicazione di diversi Decreti Ministeriali.;decreto ministeriale;Ministerialdekret;MD;
3.0;La legge provinciale, approvata dal Consiglio provinciale con la maggioranza assoluta dei suoi componenti, determina la forma di governo della Provincia.;legge provinciale;Landesgesetz;;
3.0;Il sostegno economico alle imprese è disciplinato tramite alcune leggi provinciali.;legge provinciale;Landesgesetz;;
3.0;Con effetto dall’entrata in vigore della presente legge è abrogata la Legge Provinciale 22 dicembre 2015, n. 17.;legge provinciale;Landesgesetz;;
3.0;Le leggi provinciali concorrono, con la normativa statale, a disciplinare una materia. ;legge provinciale;Landesgesetz;;
3.0;Il controllo sull'attuazione delle leggi provinciali e le attività legate alla valutazione degli effetti delle politiche pubbliche sono regolate dalla Legge provinciale 28 marzo 2013, n. 5.;legge provinciale;Landesgesetz;;
4.0;Qualora si tratti di supposizione di parto o di sostituzione di neonato, il figlio può reclamare uno stato diverso.;supposizione di parto;Kindesunterschiebung;;Unterschiebung eines Kindes
4.0;La supposizione di parto ricorre quando, nato un bambino, nell'atto di nascita gli si attribuisca come madre una donna che non ha partorito.;supposizione di parto;Kindesunterschiebung;;Unterschiebung eines Kindes
4.0;La prima ipotesi si riferisce ai presupposti contemplati nella precedente formulazione della norma, in base ai quali il neonato sia indicato nell’atto di nascita come nato da una donna che non ha realmente partorito (supposizione di parto).;supposizione di parto;Kindesunterschiebung;;Unterschiebung eines Kindes
4.0;Essa si configura come un’azione positiva diretta ad accertare la matrimonialità verso altri genitori, qualora si sia verificato lo scambio di neonati o la supposizione di parto da donna coniugata.;supposizione di parto;Kindesunterschiebung;;Unterschiebung eines Kindes
4.0;Precisamente, il riferimento è al caso di supposizione di parto e sostituzione di neonato nei quali la donna indicata come madre nell’atto di nascita non ha partorito chi risulta figlio.;supposizione di parto;Kindesunterschiebung;;Unterschiebung eines Kindes
5.0;Il tribunale può ordinare la domanda di nullità del matrimonio anche d'ufficio.;d'ufficio;von Amts wegen;;amtwswegig, ex offo, e. o., ex officio, v. a. W.
5.0;In caso di inadempienza nel termine fissato, l'autorità competente provvede d'ufficio alla demolizione del fabbricato.;d'ufficio;von Amts wegen;;amtwswegig, ex offo, e. o., ex officio, v. a. W.
5.0;Le varianti al piano comunale possono essere apportate d’ufficio dalla Giunta provinciale.;d'ufficio;von Amts wegen;;amtwswegig, ex offo, e. o., ex officio, v. a. W.
5.0;Le attività volte a gestire, garantire e verificare la trasmissione dei dati o l'accesso diretto degli stessi da parte dell'amministrazione procedente all'acquisizione d'ufficio dei dati rientrano nella competenza delle singole strutture organizzative della Provincia.;d'ufficio;von Amts wegen;;amtwswegig, ex offo, e. o., ex officio, v. a. W.
5.0;Le imprese di cui all’allegato A) “Elenco imprese” vengono cancellate d’ufficio dal Registro delle imprese ai sensi degli artt. 2 e 3 del D.P.R. 247/2004.;d'ufficio;von Amts wegen;;amtwswegig, ex offo, e. o., ex officio, v. a. W.
6.0;È imputabile chi ha la capacità di intendere e di volere.;capacità di intendere e di volere;Zurechnungsfähigkeit;Einsichts- und Willensfähigkeit ;Deliktsfähigkeit, Schuldfähigkeit, Entscheidungsfähigkeit, Einsichts- und Urteilsfähigkeit, Urteilsfähigkeit, Verschuldensfähigkeit
6.0;La capacità di intendere e di volere viene presunta dalla legge con il compimento del diciottesimo anno di età.;capacità di intendere e di volere;Zurechnungsfähigkeit;Einsichts- und Willensfähigkeit ;Deliktsfähigkeit, Schuldfähigkeit, Entscheidungsfähigkeit, Einsichts- und Urteilsfähigkeit, Urteilsfähigkeit, Verschuldensfähigkeit
6.0;La situazione di tossicodipendenza che influisce sulla capacità di intendere e di volere è solo quella che provoca alterazioni patologiche permanenti.;capacità di intendere e di volere;Zurechnungsfähigkeit;Einsichts- und Willensfähigkeit ;Deliktsfähigkeit, Schuldfähigkeit, Entscheidungsfähigkeit, Einsichts- und Urteilsfähigkeit, Urteilsfähigkeit, Verschuldensfähigkeit
6.0;La capacità di intendere e di volere disciplinata dal codice penale all'art. 85 c.p. può venire meno per ragioni di infermità (anche ma non solo) psichica.;capacità di intendere e di volere;Zurechnungsfähigkeit;Einsichts- und Willensfähigkeit ;Deliktsfähigkeit, Schuldfähigkeit, Entscheidungsfähigkeit, Einsichts- und Urteilsfähigkeit, Urteilsfähigkeit, Verschuldensfähigkeit
6.0;La capacità di intendere e di volere infatti si può manifestare nelle tre forme di colpevolezza che sono il dolo, la colpa e la preterintenzione.;capacità di intendere e di volere;Zurechnungsfähigkeit;Einsichts- und Willensfähigkeit ;Deliktsfähigkeit, Schuldfähigkeit, Entscheidungsfähigkeit, Einsichts- und Urteilsfähigkeit, Urteilsfähigkeit, Verschuldensfähigkeit
7.0;I registri dello stato civile sono tenuti in ogni comune in conformità delle norme contenute nella legge sull'ordinamento dello stato civile.;registro dello stato civile;Personenstandsregister;;Personenstandsbuch, Zivilstandsregister
7.0;La filiazione si prova con l'atto di nascita iscritto nei registri dello stato civile.;registro dello stato civile;Personenstandsregister;;Personenstandsbuch, Zivilstandsregister
7.0;Il pubblico ufficiale che le riceve e l'ufficiale dello stato civile che le riproduce sui registri dello stato civile sono puniti con l'ammenda da euro 20 a euro 82.;registro dello stato civile;Personenstandsregister;;Personenstandsbuch, Zivilstandsregister
