terms,total
Wertzuständigkeit,2
"Parteisachverständiger, Privatsachverständiger",2
"Parteisachverständiger, Privatsachverständiger",2
"Einlassung der Partei, Einlassung der Parteien",11
Besitzschutzklage,0
Schiedsverfahren,40
"Beeidigung des Sachverständigen, Sachverständigeneid",2
"Festlegung der Zuständigkeit, Zuständigkeitsfeststellung",18
Anerkennung,564
"Advokat, RA, Rechtsanwalt",77
"Advokat, RA, Rechtsanwalt",77
Streitgenossenschaft,6
"Aufhebung, Außerkraftsetzung",371
"Aufhebung, Außerkraftsetzung",371
Beitritt,107
"Einlassung in das Verfahren, Streiteinlassung",14
"Einlassung in das Verfahren, Streiteinlassung",14
Spezialkurator,21
Grund des erhobenen Anspruchs,0
Gegenstand des erhobenen Anspruchs,2
dingliches Recht,4
Durchführungsverordnung,2252
"Hausangestellter, Haushaltsgehilfe",8
"Kindergartenassistent, pädagogischer Mitarbeiter",24
spezialisierter Straßenwärter,6
Sozialassistent,25
"Werbeassistent, Werbesachbearbeiter",5
Freiberufler,154
"Disziplinarmaßnahme, Disziplinarstrafe",45
Ministerrat,25
Minister ohne Geschäftsbereich,0
Gemeinde,2894
Gemeinderat,140
Bürgermeister,808
Gemeindeausschuss,39
"Gemeindeassessor, Gemeindereferent, Stadtrat",10
"Gemeindeassessor, Gemeindereferent, Stadtrat",10
"Gemeinderat, Gemeinderatsmitglied",150
"Satzungsautonomie, Satzungsbefugnis",5
Finanzautonomie,3
"Geschäftsbereich, Ministerium",575
"Anteil, Gesellschaftsanteil",550
Bürgschaft,101
"Geschäftsführer, Verwalter, Verwalter der Gesellschaft",679
"Geschäftsführer, Verwalter, Verwalter der Gesellschaft",679
"Geschäftsführer, Verwalter, Verwalter der Gesellschaft",679
"Bevollmächtigter, Vertreter",1575
"Gewinn- und Verlustrechnung, GuV-Rechnung",37
"Gewinn- und Verlustrechnung, GuV-Rechnung",37
Auftrag,1092
"Gesellschaft mit beschränkter Haftung, GmbH",38
"Gesellschaft mit beschränkter Haftung, GmbH",38
"Referendum, Volksabstimmung, Volksbefragung",350
"Referendum, Volksabstimmung, Volksbefragung",350
"Referendum, Volksabstimmung, Volksbefragung",350
Verwaltungsstrafe,459
"Selbstbebauer, selbstbearbeitender Bauer",29
Adoption,150
"Anvertrauung zur Betreuung vor der Adoption, Überlassung zur adoptionsvorbereitenden Betreuung",10
"Anschluss, Beitritt",236
Vormund,109
gesetzliche Zinsen,0
Verordnung,2683
Diskontsatz,5
"Kasse für Landwirtschaft und Handwerk, Raiffeisenkasse",0
Forderung,280
"ZGB, Zivilgesetzbuch",217
"Entlohnung, Lohn, Vergütung",1163
"Entlohnung, Lohn, Vergütung",1163
"Bescheinigung über den Wohnsitz, Wohnsitzbescheinigung",18
"Bescheinigung über den Wohnsitz, Wohnsitzbescheinigung",18
"Staatsbürgerschaftsbescheinigung, Staatsbürgerschaftsnachweis",3
"Handwerksbetrieb, Handwerksunternehmen",105
"Handwerksbetrieb, Handwerksunternehmen",105
Schiedsvertrag,8
Versicherung gegen Arbeitsunfälle und Berufskrankheiten,4
Domizil,265
Staatenloser,1
Staatsbürgerschaft,127
ausländische Verfügung,3
elterliche Gewalt,48
Abstammung,33
"Norm, Rechtsvorschrift, Vorschrift",247
"Norm, Rechtsvorschrift, Vorschrift",247
unerlaubte Handlung,7
"Ehetrennung, Trennung",157
persönliche Rechtsverhältnisse,1
Legitimation durch nachfolgende Eheschließung,2
"Schutz der Minderjährigen, Schutz von Minderjährigen",10
Staatspolizei,26
Grundschule,238
Verteidiger,156
Amtsverteidiger,12
"Amtssachverständiger, Sachverständiger",50
"Amtssachverständiger, Sachverständiger",50
Zivilpartei,49
Unvereinbarkeit,162
Vollstreckung,225
Reisepass,5
"Beschuldigter, Person, die den Vorerhebungen unterworfen ist, Person, gegen die ermittelt wird",2
"Anhaltung, Verhaftung",45
"Erbschaft, Verlassenschaft",192
"Erbschaft, Verlassenschaft",192
Pflichtteilsberechtigter,0
"Erbteilung, Teilung der Erbschaft",10
"Erbteilung, Teilung der Erbschaft",10
Berichtigung inhaltlicher Fehler,2
Strafregister,15
"Durchsuchung der Person, Leibesvisitation",2
"Durchsuchung der Person, Leibesvisitation",2
Wiedereinsetzung in die früheren Rechte,22
Dekret auf Einleitung des Hauptverfahrens,6
Testament,138
Vermächtnis,59
"Satzung, Statut",852
"Satzung, Statut",852
bewegliche Sache,14
Gesamtsache,8
natürliche Früchte,2
Zivilfrüchte,5
Erwerb,635
"Absonderung, Absonderung von Früchten",33
"Rechtsstellung, rechtliche Stellung",62
"Rechtsstellung, rechtliche Stellung",62
"unverkäuflich, unveräußerlich",10
Requirierung,4
"Eigentum an Grund und Boden, Grundeigentum",8
"Eigentum an Grund und Boden, Grundeigentum",8
"Bereich unter der Erdoberfläche, Untergrund",98
"Bereich unter der Erdoberfläche, Untergrund",98
"Dienstbarkeit, Grunddienstbarkeit",140
"Dienstbarkeit, Grunddienstbarkeit",140
"Baugrund, Bauland, bebaubare Fläche, bebaubares Grundstück",63
"Baugrund, Bauland, bebaubare Fläche, bebaubares Grundstück",63
"Baugrund, Bauland, bebaubare Fläche, bebaubares Grundstück",63
Inhaber,965
"Verbindung, Zuwachs",436
"Erbbaurecht, Überbaurecht",19
"Erbbaurecht, Überbaurecht",19
Hinzufügung,4
"Sorgfalt eines guten Familienvaters, Sorgfalt eines ordentlichen Hausvaters",10
Anmaßung,2
herrschendes Grundstück,0
dienendes Grundstück,0
Vereinigung,249
"Gesamtschuld, Gesamtschuldverhältnis, Gesamtverbindlichkeit",14
"Gesamtschuld, Gesamtschuldverhältnis, Gesamtverbindlichkeit",14
"Gesamtschuld, Gesamtschuldverhältnis, Gesamtverbindlichkeit",14
"Gemeinschaftseigentum, Kondominium, Miteigentum an Gebäuden",10
Neuerung,23
"Versammlung der Hausmiteigentümer, Versammlung der Miteigentümer",6
Standesbeamter,0
Versöhnung,5
einverständliche Ehetrennung,1
Innehabung,12
Besitz in gutem Glauben,5
"Klage auf Wiederherstellung, Klage auf Wiederherstellung des Besitzes, Klage wegen Entziehung des Besitzes, Wiederherstellungsklage",4
Klage auf Erhaltung des Besitzes,2
Mitgift,9
ungeteiltes Eigentum,1
Familienunternehmen,19
"Anspruch auf Unterhalt, Anspruch auf vollen Unterhalt, Recht auf Unterhalt",5
"Anspruch auf Unterhalt, Anspruch auf vollen Unterhalt, Recht auf Unterhalt",5
"Gestaltungsurteil, Urteil mit konstitutiver Wirkung, rechtsgestaltendes Urteil",0
Gattungsschuld,1
Erfüllung durch einen Dritten,1
Quittung,42
Scheingeschäft,4
Freispruch,30
"Rüge, Verweis",99
beglaubigte Privaturkunde,7
Bestreitung der Vaterschaft,3
Kindesunterschiebung,2
"Klage auf Bestreitung der Vaterschaft, Vaterschaftsbestreitungsklage",13
Bauleitplan,143
Vorfahre,4
Nachkomme,4
Spezialvollmacht,2
Entlassung aus der elterlichen Verantwortung,2
"Rechtswirkungen, bürgerliche Wirkungen, zivilrechtliche Wirkungen",111
"Pfand, Pfandrecht",92
"Pfand, Pfandrecht",92
"Schuld, Verbindlichkeit",280
"Schuld, Verbindlichkeit",280
Vormundstellvertreter,20
Darlehensgeber,14
Darlehensnehmer,41
"Gläubigerverzug, Verzug des Gläubigers",1
Realangebot,5
Aufforderung,434
"Verbindlichkeit, die eine Handlung zum Gegenstand hat, Verpflichtung zur Vornahme einer Handlung",1
Gefahr,335
entgangener Gewinn,0
"fahrlässige Handlung, schuldhaftes Verhalten",2
"fahrlässige Handlung, schuldhaftes Verhalten",2
"Klausel, Vertragsklausel",75
Neuerung,23
"Aufrechnung, Verrechnung",91
Gemeinschuldner,69
von Amts wegen,791
"nachfolgende Unmöglichkeit, nachträgliche Unmöglichkeit",8
"nachfolgende Unmöglichkeit, nachträgliche Unmöglichkeit",8
Geschäftsführer,76
Teilunmöglichkeit,1
"Schlechtgläubigkeit, schlechter Glaube",2
Miterbe,13
nichteheliches Kind,0
"Zessionar, Übernehmer",86
Adoptierender,3
persönliche Sicherheit,3
Einwendung,32
Schuldübernahme,7
Wahlschuld,4
Schuldanerkenntnis,4
Rechtsgrund,18
"Bezugsrecht, Optionsrecht",39
"Bezugsrecht, Optionsrecht",39
Ausgleichung,32
"Fälschungsklage, Fälschungsstreit, Fälschungsstreitigkeit",26
"Fälschungsklage, Fälschungsstreit, Fälschungsstreitigkeit",26
stillschweigende Annahme,4
Vermächtnisnehmer,94
gesetzliche Erbfolge,2
"Beweggrund, Grund",2049
aufschiebende Bedingung,3
"Anteil, Erbanteil, Erbteil",551
stille Gesellschaft,4
notarielles Testament,0
Beschwerter,0
auflösende Bedingung,5
Vorausvermächtnis,1
Ersatzerbfolge,6
Nacherbfolge,9
"Testamentsvollstrecker, Testamentvollstrecker",23
"Testamentsvollstrecker, Testamentvollstrecker",23
"Erbschaftsschuld, Erbschaftsverbindlichkeit",0
"Erbschaftsschuld, Erbschaftsverbindlichkeit",0
Rückgriff,51
Veräußerung,296
Erbmasse,11
Vertragsstrafe,33
Rückgängigmachung,21
"Auslassung, Unterlassung",111
"Auslassung, Unterlassung",111
Abmachung des Heimfalls,1
"Arbeitsvertrag, Einzelvertrag, Individualarbeitsvertrag, Individualvertrag",249
"Arbeitsvertrag, Einzelvertrag, Individualarbeitsvertrag, Individualvertrag",249
höherer Angestellter,1
Vertrag zugunsten Dritter,2
Versprechender,0
mehrseitiger Vertrag,0
Täuschungshandlung,1
"Berechnungsirrtum, Rechenfehler",7
"Berechnungsirrtum, Rechenfehler",7
"Aufhebung des Vertrages, Auflösung des Vertrags",30
übermäßige Belastung,2
"Gewähr für die gute Gebrauchsfähigkeit, Gewährleistung für die gute Gebrauchsfähigkeit",2
Erbschaftskauf,3
Anhängigkeit des Rechtsstreites,0
Lehrling,66
landwirtschaftlicher Unternehmer,11
Handelsregisteramt,51
Banktätigkeit,2
Handelstätigkeit,139
"Abzeichnung, Vidimierung",16
Werkhersteller,13
"Recht zur Zurückbehaltung, Zurückbehaltung, Zurückbehaltungsrecht",11
"abhängige Arbeit, nichtselbstständige Arbeit",5
"Arbeit im Haushalt, Hausangestelltenarbeit, Hausarbeit",5
"Arbeit im Haushalt, Hausangestelltenarbeit, Hausarbeit",5
einfache Gesellschaft,7
Sitz der Gesellschaft,35
